ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
pda-295-1-1,pda,Proto-Dakota,,,295,sneeze,pša,,
pwc-295-1-1,pwc,Proto-Hoocąk-Chiwere,,,295,sneeze,*hé•pšį,,
pdh-295-1-1,pdh,Proto-Dhegiha,,,295,sneeze,*hečhį,,
pbo-295-1-1,pbo,Proto-Biloxi-Ofo,,,295,sneeze,*amíse,,
la-295-1-1,la,Lakota,lako1247,lkt,295,sneeze,pšá,c,
sv-295-1-1,sv,Sioux Valley,,,295,sneeze,pša,pas,
ch-295-1-1,ch,Chiwere,iowa1245,iow,295,sneeze,héʔšį,rr,
wi-295-1-1,wi,Hoocąk,hoch1243,win,295,sneeze,heepšį́,km[789],
wi-295-1-2,wi,Hoocąk,hoch1243,win,295,sneeze,heepšį,,
op-295-1-1,op,Omaha-Ponca,omah1247,oma,295,sneeze,hechiⁿ,sw[160],
ks-295-1-1,ks,Kanza/Kaw,kans1243,ksk,295,sneeze,hečhį́,rr,
os-295-1-1,os,Osage,osag1243,osa,295,sneeze,hétsiⁿ,lf[59b],
qu-295-1-1,qu,Quapaw,quap1242,qua,295,sneeze,héšį,jod,
bi-295-1-1,bi,Biloxi,bilo1248,bll,295,sneeze,mĭsí,ds[230b],
of-295-1-1,of,Ofo,ofoo1242,ofo,295,sneeze,ámifĕ,ds[320b],
