ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-106-1-1,psi,Proto-Siouan,,sio,106,"turn over (1), roll (1)",*ptą•(-he),,
pch-106-1-1,pch,Proto-Crow-Hidatsa,,,106,"turn over (1), roll (1)",*hta•,,
pma-106-1-1,pma,Pre-Mandan,,,106,"turn over (1), roll (1)",*-ptąh-,,
pmv-106-1-1,pmv,Proto-Mississipi-Valley,,,106,"turn over (1), roll (1)",*-ptą,,
cr-106-1-1,cr,Crow,crow1244,cro,106,"turn over (1), roll (1)",páššíi,gg[53],
cr-106-1-2,cr,Crow,crow1244,cro,106,"turn over (1), roll (1)",čipaššíi,gg[38],
cr-106-1-3,cr,Crow,crow1244,cro,106,"turn over (1), roll (1)",páttatchia,gg[53],
hi-106-1-1,hi,Hidatsa,hida1246,hid,106,"turn over (1), roll (1)","hta•, pa-",j,
hi-106-1-2,hi,Hidatsa,hida1246,hid,106,"turn over (1), roll (1)","htahtE, ná-",j,
hi-106-1-3,hi,Hidatsa,hida1246,hid,106,"turn over (1), roll (1)","htáhtE, ara-",j,
hi-106-1-4,hi,Hidatsa,hida1246,hid,106,"turn over (1), roll (1)","tahtE, nak-",j,
hi-106-1-5,hi,Hidatsa,hida1246,hid,106,"turn over (1), roll (1)","tahtE, pá-",j,
ma-106-1-1,ma,Mandan,mand1446,mhq,106,"turn over (1), roll (1)",kiptą́hoʔš,c,
pda-106-1-1,pda,Proto-Dakota,,,106,"turn over (1), roll (1)",*ptą,,
pdh-106-1-1,pdh,Proto-Dhegiha,,,106,"turn over (1), roll (1)",*-htą́(-ra),,
la-106-1-1,la,Lakota,lako1247,lkt,106,"turn over (1), roll (1)",ptą́,b[785b],
la-106-1-2,la,Lakota,lako1247,lkt,106,"turn over (1), roll (1)","ptą́ptą, ka-",b[288],
la-106-1-3,la,Lakota,lako1247,lkt,106,"turn over (1), roll (1)","ptą́, pa-",b[433],
la-106-1-4,la,Lakota,lako1247,lkt,106,"turn over (1), roll (1)","ptą́ptą, pa-",b[433],
la-106-1-5,la,Lakota,lako1247,lkt,106,"turn over (1), roll (1)","ptą́ptą, yu-",b[648],
la-106-1-6,la,Lakota,lako1247,lkt,106,"turn over (1), roll (1)","ptą, ų́na-",b[507],
op-106-1-1,op,Omaha-Ponca,omah1247,oma,106,"turn over (1), roll (1)",patoⁿ,sw[149],
ks-106-1-1,ks,Kanza/Kaw,kans1243,ksk,106,"turn over (1), roll (1)","ttą́, ga-",rr,
ks-106-1-2,ks,Kanza/Kaw,kans1243,ksk,106,"turn over (1), roll (1)","ttą́hą, yü-",rr,
qu-106-1-1,qu,Quapaw,quap1242,qua,106,"turn over (1), roll (1)","ttą́ni, di-",rr,
