ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-132-1-1,psi,Proto-Siouan,,sio,132,throw away,*ʔų́•-re,,
pma-132-1-1,pma,Pre-Mandan,,,132,throw away,*:kųte-,,
pmv-132-1-1,pmv,Proto-Mississipi-Valley,,,132,throw away,*ʔų_-re,,
ma-132-1-1,ma,Mandan,mand1446,mhq,132,throw away,í•kųteʔš,c,
ma-132-1-2,ma,Mandan,mand1446,mhq,132,throw away,íwa•kųteʔš,c,
pda-132-1-1,pda,Proto-Dakota,,,132,throw away,*ʔų_-ya,,
pdh-132-1-1,pdh,Proto-Dhegiha,,,132,throw away,*ǫ́•-_re,,
pbo-132-1-1,pbo,Proto-Biloxi-Ofo,,,132,throw away,"*nų•ré, *nų́•ri",,
la-132-1-1,la,Lakota,lako1247,lkt,132,throw away,ųyą,b[508a],
wi-132-1-1,wi,Hoocąk,hoch1243,win,132,throw away,ʔų́ųñe hii,km[3158],
wi-132-1-2,wi,Hoocąk,hoch1243,win,132,throw away,"ųųrehi, ųųreehi",km[3038],
wi-132-1-3,wi,Hoocąk,hoch1243,win,132,throw away,tʔųné,,
wi-132-1-4,wi,Hoocąk,hoch1243,win,132,throw away,t’ųųre,,
op-132-1-1,op,Omaha-Ponca,omah1247,oma,132,throw away,oⁿtha,sw[59],
ks-132-1-1,ks,Kanza/Kaw,kans1243,ksk,132,throw away,ó•ye,rr;mr,
ks-132-1-2,ks,Kanza/Kaw,kans1243,ksk,132,throw away,ǫ́ye,jod,
ks-132-1-3,ks,Kanza/Kaw,kans1243,ksk,132,throw away,ǫ_ye,,
os-132-1-1,os,Osage,osag1243,osa,132,throw away,óⁿtha,lf[122b],
qu-132-1-1,qu,Quapaw,quap1242,qua,132,throw away,ǫdé ~ ǫ́de déde,jod,
bi-132-1-1,bi,Biloxi,bilo1248,bll,132,throw away,"noⁿdĕ´, nûdĕ´, nóⁿ dedí",ds[238a],
of-132-1-1,of,Ofo,ofoo1242,ofo,132,throw away,nūti,ds[327a];ssf,
