ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-958-1-1,psi,Proto-Siouan,,sio,958,cough,[old reconstruction only],,
pma-958-1-1,pma,Pre-Mandan,,,958,cough,*xpí-,,
pmv-958-1-1,pmv,Proto-Mississipi-Valley,,,958,cough,*hó_xpe,,
hi-958-1-1,hi,Hidatsa,hida1246,hid,958,cough,haxphí,j,
ma-958-1-1,ma,Mandan,mand1446,mhq,958,cough,pxíʔš,c,
ma-958-1-2,ma,Mandan,mand1446,mhq,958,cough,he sneezed,,
pda-958-1-1,pda,Proto-Dakota,,,958,cough,*ho_xpá,,
pdh-958-1-1,pdh,Proto-Dhegiha,,,958,cough,*hó-_xpe,,
la-958-1-1,la,Lakota,lako1247,lkt,958,cough,ho_xpá,c,
da-958-1-1,da,Dakota,dako1258,dak,958,cough,hoḣpa,wm[40a],
ch-958-1-1,ch,Chiwere,iowa1245,iow,958,cough,hóxwe,rr,
wi-958-1-1,wi,Hoocąk,hoch1243,win,958,cough,hooxíwi,km[1460],
wi-958-1-2,wi,Hoocąk,hoch1243,win,958,cough,hooxiwi,,
op-958-1-1,op,Omaha-Ponca,omah1247,oma,958,cough,húxpe,sw[48],
ks-958-1-1,ks,Kanza/Kaw,kans1243,ksk,958,cough,hóxpe,rr,
os-958-1-1,os,Osage,osag1243,osa,958,cough,húxpe,lf[68b],
qu-958-1-1,qu,Quapaw,quap1242,qua,958,cough,hóxpe,rr,
