ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
pmv-58-1-1,pmv,Proto-Mississipi-Valley,,,58,warm (2),*štútE,,
pwc-58-1-1,pwc,Proto-Hoocąk-Chiwere,,,58,warm (2),*štúte,,
pdh-58-1-1,pdh,Proto-Dhegiha,,,58,warm (2),*štǘte,,
la-58-1-1,la,Lakota,lako1247,lkt,58,warm (2),štúṫa,b[468a],
ch-58-1-1,ch,Chiwere,iowa1245,iow,58,warm (2),stuǰe,lwr[28],
ch-58-1-2,ch,Chiwere,iowa1245,iow,58,warm (2),štúštuǰe,marsh,
wi-58-1-1,wi,Hoocąk,hoch1243,win,58,warm (2),taaščúč,km[2926],
wi-58-1-2,wi,Hoocąk,hoch1243,win,58,warm (2),"šjuuc, taašjuc",,
op-58-1-1,op,Omaha-Ponca,omah1247,oma,58,warm (2),shtide,sw[184],
ks-58-1-1,ks,Kanza/Kaw,kans1243,ksk,58,warm (2),ščǘǰe,jod,
os-58-1-1,os,Osage,osag1243,osa,58,warm (2),shtíde,lf[134b],
qu-58-1-1,qu,Quapaw,quap1242,qua,58,warm (2),štítte,jod,
