ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-46-1-1,psi,Proto-Siouan,,sio,46,what size,*(r)ą,,
pdh-46-1-1,pdh,Proto-Dhegiha,,,46,what size,*-(r)ą-,,
ks-46-1-1,ks,Kanza/Kaw,kans1243,ksk,46,what size,-yą- {in} yéyąska,rr,
ks-46-1-2,ks,Kanza/Kaw,kans1243,ksk,46,what size,-yą- {in} gašéyąska,rr,
ks-46-1-3,ks,Kanza/Kaw,kans1243,ksk,46,what size,-yǫ- {in} háyǫska,rr,
ks-46-1-4,ks,Kanza/Kaw,kans1243,ksk,46,what size,-yǫ- {in} góze éyǫska,jod;rr,
ks-46-1-5,ks,Kanza/Kaw,kans1243,ksk,46,what size,-yǫ- {in} šéyǫska,rr,
os-46-1-1,os,Osage,osag1243,osa,46,what size,-ðą- {in} á-thoⁿ-çka a (?),lf[16b],
os-46-2-1,os,Osage,osag1243,osa,46,what size,-ðą- {in} thé-thoⁿ-çka,lf[144a],
bi-46-1-1,bi,Biloxi,bilo1248,bll,46,what size,-ną- {in} ténaska,ds[273a],
