ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-808-1-1,psi,Proto-Siouan,,sio,808,"ford, wade",*yo_phe,,
pmv-808-1-1,pmv,Proto-Mississipi-Valley,,,808,"ford, wade",*yo_phe,,
cr-808-1-1,cr,Crow,crow1244,cro,808,"ford, wade",híilappee,rg;gg[48],
pda-808-1-1,pda,Proto-Dakota,,,808,"ford, wade",*čho_phá,,
pwc-808-1-1,pwc,Proto-Hoocąk-Chiwere,,,808,"ford, wade",*yowe,,
pdh-808-1-1,pdh,Proto-Dhegiha,,,808,"ford, wade",*žóphe,,
la-808-1-1,la,Lakota,lako1247,lkt,808,"ford, wade",copá,b[133b],
da-808-1-1,da,Dakota,dako1258,dak,808,"ford, wade",ćopá,r[103b],
ch-808-1-1,ch,Chiwere,iowa1245,iow,808,"ford, wade",niyuwe,jod,
ch-808-1-2,ch,Chiwere,iowa1245,iow,808,"ford, wade",yówe,marsh,
wi-808-1-1,wi,Hoocąk,hoch1243,win,808,"ford, wade",nįoowé < nįį howe,jwe,
wi-808-1-2,wi,Hoocąk,hoch1243,win,808,"ford, wade",nįowe < nįį howe,,
op-808-1-1,op,Omaha-Ponca,omah1247,oma,808,"ford, wade",júhe,,
ks-808-1-1,ks,Kanza/Kaw,kans1243,ksk,808,"ford, wade",žophé,rr,
os-808-1-1,os,Osage,osag1243,osa,808,"ford, wade",zhúpshe,lf[228b],
os-808-2-1,os,Osage,osag1243,osa,808,"ford, wade",opshé,lf[123a],
qu-808-1-1,qu,Quapaw,quap1242,qua,808,"ford, wade",ánižóhe,rr,
