ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-668-1-1,psi,Proto-Siouan,,sio,668,indefinite/interrogative (2),*-pa,,
ca-668-1-1,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),hį•pa,ks[207],
ca-668-1-2,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-pə {in} tα´pə,ks[208],
ca-668-1-3,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-pa,ks[208],
ca-668-1-4,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-pa {in} dopa,ks[171],
ca-668-1-5,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-pa,ks[171],
ca-668-1-6,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-pa {in} núpa,ks[171],
ca-668-1-7,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-pá,ks[207],
ca-668-1-8,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-pá {in} nĕpá,ks[227],
ca-668-1-9,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-pá,,
ca-668-1-10,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-pá {in} dĕpá,,
ca-668-1-11,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-pa,,
ca-668-1-12,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-pa {in} yépa,,
ca-668-1-13,ca,Catawba,cata1286,chc,668,indefinite/interrogative (2),-ba {in} čęba,,
cr-668-1-1,cr,Crow,crow1244,cro,668,indefinite/interrogative (2),-paa {in} sáapaa,gg[66],
hi-668-1-1,hi,Hidatsa,hida1246,hid,668,indefinite/interrogative (2),-pá- {in} ta•paʔ,j,
hi-668-1-2,hi,Hidatsa,hida1246,hid,668,indefinite/interrogative (2),-pa- {in} tá•patha•,j,
hi-668-1-3,hi,Hidatsa,hida1246,hid,668,indefinite/interrogative (2),-pa- {in} ta•pato•k,j,
pdh-668-1-1,pdh,Proto-Dhegiha,,,668,indefinite/interrogative (2),*tópa,,
da-668-1-1,da,Dakota,dako1258,dak,668,indefinite/interrogative (2),apá,r[41b],
op-668-1-1,op,Omaha-Ponca,omah1247,oma,668,indefinite/interrogative (2),dóba,rr,
ks-668-1-1,ks,Kanza/Kaw,kans1243,ksk,668,indefinite/interrogative (2),dóba,rr,
os-668-1-1,os,Osage,osag1243,osa,668,indefinite/interrogative (2),dúba,lf[40a],
