ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-677-1-1,psi,Proto-Siouan,,sio,677,how,*ta•ska,,
ma-677-1-1,ma,Mandan,mand1446,mhq,677,how,tašká-,h[483],
pwc-677-1-1,pwc,Proto-Hoocąk-Chiwere,,,677,how,*tá•ske,,
ch-677-1-1,ch,Chiwere,iowa1245,iow,677,how,dahgé/dáthke (old),jgt92[632],
ch-677-2-1,ch,Chiwere,iowa1245,iow,677,how,dáthge/ dáthke,jgt92[687];dor,
wi-677-1-1,wi,Hoocąk,hoch1243,win,677,how,ǰaasgé,km[1682],
wi-677-1-2,wi,Hoocąk,hoch1243,win,677,how,jaasge,km[1683],
wi-677-1-3,wi,Hoocąk,hoch1243,win,677,how,ǰaasgéižą,km[1683],
wi-677-1-4,wi,Hoocąk,hoch1243,win,677,how,jaasgeižą,,
wi-677-1-5,wi,Hoocąk,hoch1243,win,677,how,ǰaasgéra,,
wi-677-1-6,wi,Hoocąk,hoch1243,win,677,how,jaasgera,,
