ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-777-1-1,psi,Proto-Siouan,,sio,777,give away,*ka-hi_E,,
pch-777-1-1,pch,Proto-Crow-Hidatsa,,,777,give away,*kahe•´,,
pmv-777-1-1,pmv,Proto-Mississipi-Valley,,,777,give away,*ka-,,
cr-777-1-1,cr,Crow,crow1244,cro,777,give away,kée,rg;gg[50];dec[28],
hi-777-1-1,hi,Hidatsa,hida1246,hid,777,give away,kahe•´,j,
hi-777-1-2,hi,Hidatsa,hida1246,hid,777,give away,kahé•,,
ma-777-1-1,ma,Mandan,mand1446,mhq,777,give away,káʔhereʔš,c,
ma-777-1-2,ma,Mandan,mand1446,mhq,777,give away,kaʔ-,c,
pdh-777-1-1,pdh,Proto-Dhegiha,,,777,give away,*ka-ré,,
wi-777-1-1,wi,Hoocąk,hoch1243,win,777,give away,woogá,km[304],
wi-777-1-2,wi,Hoocąk,hoch1243,win,777,give away,wooga,,
os-777-1-1,os,Osage,osag1243,osa,777,give away,dadoⁿ gathe,lf[34b],
qu-777-1-1,qu,Quapaw,quap1242,qua,777,give away,kadé,jod,
bi-777-1-1,bi,Biloxi,bilo1248,bll,777,give away,"kaye, káye, kayi",ds[205a],
