ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psc-1086-1-1,psc,Proto-Siouan-Catawba,,,1086,bison,*wité•,,
psi-1086-1-1,psi,Proto-Siouan,,sio,1086,bison,*wi-hté•,,
pch-1086-1-1,pch,Proto-Crow-Hidatsa,,,1086,bison,*wité•,,
pmv-1086-1-1,pmv,Proto-Mississipi-Valley,,,1086,bison,*pté•,,
ca-1086-1-1,ca,Catawba,cata1286,chc,1086,bison,widé•,fs,
cr-1086-1-1,cr,Crow,crow1244,cro,1086,bison,bišée,rg;gg[33];dec[2],
hi-1086-1-1,hi,Hidatsa,hida1246,hid,1086,bison,wité•,j,
hi-1086-1-2,hi,Hidatsa,hida1246,hid,1086,bison,mité•,j,
hi-1086-1-3,hi,Hidatsa,hida1246,hid,1086,bison,wité•ká•ti,,
ma-1086-1-1,ma,Mandan,mand1446,mhq,1086,bison,ptį́•re ~ ptį́•,c,
ma-1086-1-2,ma,Mandan,mand1446,mhq,1086,bison,ptį́• tkúš,c,
pda-1086-1-1,pda,Proto-Dakota,,,1086,bison,*pté,,
pwc-1086-1-1,pwc,Proto-Hoocąk-Chiwere,,,1086,bison,*čé•,,
pdh-1086-1-1,pdh,Proto-Dhegiha,,,1086,bison,*hté,,
la-1086-1-1,la,Lakota,lako1247,lkt,1086,bison,pté,c,
da-1086-1-1,da,Dakota,dako1258,dak,1086,bison,pte-,wm[25a],
sv-1086-1-1,sv,Sioux Valley,,,1086,bison,pté,pas,
ch-1086-1-1,ch,Chiwere,iowa1245,iow,1086,bison,čé,c,
ch-1086-1-2,ch,Chiwere,iowa1245,iow,1086,bison,čhe•mį́,rr,
wi-1086-1-1,wi,Hoocąk,hoch1243,win,1086,bison,čée,km[183],
wi-1086-1-2,wi,Hoocąk,hoch1243,win,1086,bison,cee,,
op-1086-1-1,op,Omaha-Ponca,omah1247,oma,1086,bison,tté,c,
ks-1086-1-1,ks,Kanza/Kaw,kans1243,ksk,1086,bison,ččé,rr,
os-1086-1-1,os,Osage,osag1243,osa,1086,bison,hcé,rr,
qu-1086-1-1,qu,Quapaw,quap1242,qua,1086,bison,tté,rr,
