ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
pmv-821-1-1,pmv,Proto-Mississipi-Valley,,,821,fly (1),*kiʔą́,,
pda-821-1-1,pda,Proto-Dakota,,,821,fly (1),*kiyą́,,
pwc-821-1-1,pwc,Proto-Hoocąk-Chiwere,,,821,fly (1),*-tʔą́,,
pdh-821-1-1,pdh,Proto-Dhegiha,,,821,fly (1),*kią́,,
la-821-1-1,la,Lakota,lako1247,lkt,821,fly (1),kįyĄ´,c,
st-821-1-1,st,Stoney,ston1242,sto,821,fly (1),giyą́,pas[1069],
sv-821-1-1,sv,Sioux Valley,,,821,fly (1),kíyą́,pas,
ch-821-1-1,ch,Chiwere,iowa1245,iow,821,fly (1),gi•tʔą́,,
ot-821-1-1,ot,Otoe,iowa1245,iow,821,fly (1),gi•thą́,rr,
wi-821-1-1,wi,Hoocąk,hoch1243,win,821,fly (1),tʔą́ą,km[3021],
wi-821-1-2,wi,Hoocąk,hoch1243,win,821,fly (1),t’ąą,,
op-821-1-1,op,Omaha-Ponca,omah1247,oma,821,fly (1),gíą ~ gíyą,rr,
ks-821-1-1,ks,Kanza/Kaw,kans1243,ksk,821,fly (1),giyą́,rr,
os-821-1-1,os,Osage,osag1243,osa,821,fly (1),gioⁿ´,lf[51b],
qu-821-1-1,qu,Quapaw,quap1242,qua,821,fly (1),kią́,rr,
bi-821-1-1,bi,Biloxi,bilo1248,bll,821,fly (1),kiyaⁿská,ds[209b],
bi-821-1-2,bi,Biloxi,bilo1248,bll,821,fly (1),"kioⁿsná, kinóⁿusá",ds[208b],
bi-821-1-3,bi,Biloxi,bilo1248,bll,821,fly (1),kinápsa,asg;ds[203b],
