ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
pmv-281-1-1,pmv,Proto-Mississipi-Valley,,,281,something (1),*ta•kú,,
la-281-1-1,la,Lakota,lako1247,lkt,281,something (1),táku,b[475],
la-281-1-2,la,Lakota,lako1247,lkt,281,something (1),táku,b[475],
la-281-1-3,la,Lakota,lako1247,lkt,281,something (1),táku- {in} tákuca,b[476],
la-281-1-4,la,Lakota,lako1247,lkt,281,something (1),táku- {in} tákušni,b[476],
la-281-1-5,la,Lakota,lako1247,lkt,281,something (1),táku- {in} tákuwe,b[476],
ch-281-1-1,ch,Chiwere,iowa1245,iow,281,something (1),dagú,jgt92[614],
ch-281-1-2,ch,Chiwere,iowa1245,iow,281,something (1),dagú-,jgt92[620],
ch-281-1-3,ch,Chiwere,iowa1245,iow,281,something (1),dagú- {in} dagúre,,
wi-281-1-1,wi,Hoocąk,hoch1243,win,281,something (1),ǰaagú,km[1668],
wi-281-1-2,wi,Hoocąk,hoch1243,win,281,something (1),jaagu,km[856],
wi-281-1-3,wi,Hoocąk,hoch1243,win,281,something (1),higų ǰaagú,km[1669],
wi-281-1-4,wi,Hoocąk,hoch1243,win,281,something (1),hegų jaagu,,
wi-281-1-5,wi,Hoocąk,hoch1243,win,281,something (1),ǰaagú- {in} ǰaagú’ų,,
wi-281-1-6,wi,Hoocąk,hoch1243,win,281,something (1),jaagu- {in} jaagu’ų,,
