ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psc-321-1-1,psc,Proto-Siouan-Catawba,,,321,"sitting, be; sitting positional",*wų,,
psi-321-1-1,psi,Proto-Siouan,,sio,321,"sitting, be; sitting positional",*rą́•-kE < **wų́•-ke,,
pch-321-1-1,pch,Proto-Crow-Hidatsa,,,321,"sitting, be; sitting positional",*rá•kE,,
pch-321-2-1,pch,Proto-Crow-Hidatsa,,,321,"sitting, be; sitting positional",*ráhku < **ruk-ka,,
pmv-321-1-1,pmv,Proto-Mississipi-Valley,,,321,"sitting, be; sitting positional",*rą́kE,,
pse-321-1-1,pse,Proto-Southeastern,,,321,"sitting, be; sitting positional",*ną́k-,,
ca-321-1-1,ca,Catawba,cata1286,chc,321,"sitting, be; sitting positional",wą,ks,
cr-321-1-1,cr,Crow,crow1244,cro,321,"sitting, be; sitting positional",da•čí,gg[40],
cr-321-1-2,cr,Crow,crow1244,cro,321,"sitting, be; sitting positional",dahkú,gg[41],
cr-321-1-3,cr,Crow,crow1244,cro,321,"sitting, be; sitting positional",awá•chi,gg[107],
hi-321-1-1,hi,Hidatsa,hida1246,hid,321,"sitting, be; sitting positional",rá•kE,j,
hi-321-1-2,hi,Hidatsa,hida1246,hid,321,"sitting, be; sitting positional",ráhku,j,
hi-321-1-3,hi,Hidatsa,hida1246,hid,321,"sitting, be; sitting positional",awá•kE,j,
hi-321-1-4,hi,Hidatsa,hida1246,hid,321,"sitting, be; sitting positional",wá•kE,j,
ma-321-1-1,ma,Mandan,mand1446,mhq,321,"sitting, be; sitting positional",rąk,h[164],
ma-321-1-2,ma,Mandan,mand1446,mhq,321,"sitting, be; sitting positional",rą́ke,h[165],
ma-321-1-3,ma,Mandan,mand1446,mhq,321,"sitting, be; sitting positional",rąkóʔš,c,
ma-321-1-4,ma,Mandan,mand1446,mhq,321,"sitting, be; sitting positional",á•kąrąk,c,
pda-321-1-1,pda,Proto-Dakota,,,321,"sitting, be; sitting positional",*yąkA´,,
pwc-321-1-1,pwc,Proto-Hoocąk-Chiwere,,,321,"sitting, be; sitting positional",*ną́ke,,
pdh-321-1-1,pdh,Proto-Dhegiha,,,321,"sitting, be; sitting positional",*rą,,
pbo-321-1-1,pbo,Proto-Biloxi-Ofo,,,321,"sitting, be; sitting positional",*ną́ki,,
la-321-1-1,la,Lakota,lako1247,lkt,321,"sitting, be; sitting positional",yąká,c,
da-321-1-1,da,Dakota,dako1258,dak,321,"sitting, be; sitting positional",yaŋ-ká,r[610a],
ch-321-1-1,ch,Chiwere,iowa1245,iow,321,"sitting, be; sitting positional",ną́ŋe,marsh,
ch-321-1-2,ch,Chiwere,iowa1245,iow,321,"sitting, be; sitting positional",mį•ną́,rr,
wi-321-1-1,wi,Hoocąk,hoch1243,win,321,"sitting, be; sitting positional",mįįną́k,km[2091],
wi-321-1-2,wi,Hoocąk,hoch1243,win,321,"sitting, be; sitting positional",mįįnąk,,
op-321-1-1,op,Omaha-Ponca,omah1247,oma,321,"sitting, be; sitting positional",ðą,rr,
ks-321-1-1,ks,Kanza/Kaw,kans1243,ksk,321,"sitting, be; sitting positional",yą,rr,
qu-321-1-1,qu,Quapaw,quap1242,qua,321,"sitting, be; sitting positional",ną,jod,
bi-321-1-1,bi,Biloxi,bilo1248,bll,321,"sitting, be; sitting positional",na´ñḳi,ds[233b],
of-321-1-1,of,Ofo,ofoo1242,ofo,321,"sitting, be; sitting positional",nô´ñḳi,ds[327a],
tu-321-1-1,tu,Tutelo,tute1247,tta,321,"sitting, be; sitting positional",mahan’ñ´ka,h,
tu-321-2-1,tu,Tutelo,tute1247,tta,321,"sitting, be; sitting positional",nañka,h,
tu-321-3-1,tu,Tutelo,tute1247,tta,321,"sitting, be; sitting positional",nañ´ḳe,dsf,
