ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
pmv-138-1-1,pmv,Proto-Mississipi-Valley,,,138,this side (2),*to,,
pdh-138-1-1,pdh,Proto-Dhegiha,,,138,this side (2),*to,,
ch-138-1-1,ch,Chiwere,iowa1245,iow,138,this side (2),dó-,jgt92[728],
ch-138-1-2,ch,Chiwere,iowa1245,iow,138,this side (2),dó- {in} dórigi,jgt92[730],
ch-138-1-3,ch,Chiwere,iowa1245,iow,138,this side (2),dó-,,
ch-138-1-4,ch,Chiwere,iowa1245,iow,138,this side (2),dó- {in} dórigu/ dóriko/ doriku,,
op-138-1-1,op,Omaha-Ponca,omah1247,oma,138,this side (2),dú- {in} dú-a,,
op-138-1-2,op,Omaha-Ponca,omah1247,oma,138,this side (2),dó- {in} dú-a-hi,,
ks-138-1-1,ks,Kanza/Kaw,kans1243,ksk,138,this side (2),dó- {in} dóda,rr,
os-138-1-1,os,Osage,osag1243,osa,138,this side (2),tó- {in} dó-da,lf[37b],
qu-138-1-1,qu,Quapaw,quap1242,qua,138,this side (2),tóhinį,jod,
