ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-1181-1-1,psi,Proto-Siouan,,sio,1181,above,*á(•)ka,,
pch-1181-1-1,pch,Proto-Crow-Hidatsa,,,1181,above,*á•ka,,
pmv-1181-1-1,pmv,Proto-Mississipi-Valley,,,1181,above,áka,,
cr-1181-1-1,cr,Crow,crow1244,cro,1181,above,áaka,rg;gg[1];dec[63],
hi-1181-1-1,hi,Hidatsa,hida1246,hid,1181,above,á•ka,j,
hi-1181-1-2,hi,Hidatsa,hida1246,hid,1181,above,ák-,j,
pda-1181-1-1,pda,Proto-Dakota,,,1181,above,*aką ~ *aka,,
pdh-1181-1-1,pdh,Proto-Dhegiha,,,1181,above,*ákaha,,
la-1181-1-1,la,Lakota,lako1247,lkt,1181,above,aką́,c,
la-1181-1-2,la,Lakota,lako1247,lkt,1181,above,akápaṫaŋhaŋ,b[69a],
da-1181-1-1,da,Dakota,dako1258,dak,1181,above,ákapata,riggs,
sv-1181-1-1,sv,Sioux Valley,,,1181,above,aką́,pas,
op-1181-1-1,op,Omaha-Ponca,omah1247,oma,1181,above,agaha,jod,
ks-1181-1-1,ks,Kanza/Kaw,kans1243,ksk,1181,above,ágaha,rr,
os-1181-1-1,os,Osage,osag1243,osa,1181,above,ákaha,rr,
