ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
pmv-1074-1-1,pmv,Proto-Mississipi-Valley,,,1074,blister,*-táže,,
pwc-1074-1-1,pwc,Proto-Hoocąk-Chiwere,,,1074,blister,*-táže,,
pdh-1074-1-1,pdh,Proto-Dhegiha,,,1074,blister,*-taže,,
ch-1074-1-1,ch,Chiwere,iowa1245,iow,1074,blister,nãntaye,lwr,
ch-1074-1-2,ch,Chiwere,iowa1245,iow,1074,blister,"-taye, ną́-",marsh,
wi-1074-1-1,wi,Hoocąk,hoch1243,win,1074,blister,"-ǰás, ru-",km[2676],
wi-1074-1-2,wi,Hoocąk,hoch1243,win,1074,blister,rujas,km[1964],
wi-1074-1-3,wi,Hoocąk,hoch1243,win,1074,blister,"-ǰáš, mąą-",km[2160],
wi-1074-1-4,wi,Hoocąk,hoch1243,win,1074,blister,mąąjaš,km[3323],
wi-1074-1-5,wi,Hoocąk,hoch1243,win,1074,blister,"-ǰáš, nąą-",,
wi-1074-1-6,wi,Hoocąk,hoch1243,win,1074,blister,nąąjaš,,
wi-1074-1-7,wi,Hoocąk,hoch1243,win,1074,blister,"-ǰáš, wa-",,
wi-1074-1-8,wi,Hoocąk,hoch1243,win,1074,blister,wajaš,,
op-1074-1-1,op,Omaha-Ponca,omah1247,oma,1074,blister,"-dáže, ga-",sw[20],
op-1074-1-2,op,Omaha-Ponca,omah1247,oma,1074,blister,gadazhe,,
ks-1074-1-1,ks,Kanza/Kaw,kans1243,ksk,1074,blister,"-dáže, ga-",rr,
ks-1074-1-2,ks,Kanza/Kaw,kans1243,ksk,1074,blister,"-dáže, ba-",rr,
os-1074-1-1,os,Osage,osag1243,osa,1074,blister,gadázhe,lf[44b],
os-1074-2-1,os,Osage,osag1243,osa,1074,blister,bada´zhe,lf[20a],
qu-1074-1-1,qu,Quapaw,quap1242,qua,1074,blister,"-ttáže, di-",jod,
qu-1074-1-2,qu,Quapaw,quap1242,qua,1074,blister,"-ttáže, di-",rr,
