ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-542-1-1,psi,Proto-Siouan,,sio,542,negative (3),*rį,,
pch-542-1-1,pch,Proto-Crow-Hidatsa,,,542,negative (3),*-tha• < **-rha• < ***rV-ha•,,
pma-542-1-1,pma,Pre-Mandan,,,542,negative (3),*-rį-,,
pmv-542-1-1,pmv,Proto-Mississipi-Valley,,,542,negative (3),*-nį,,
pse-542-1-1,pse,Proto-Southeastern,,,542,negative (3),*nį,,
cr-542-1-1,cr,Crow,crow1244,cro,542,negative (3),-ssaa,gg,
hi-542-1-1,hi,Hidatsa,hida1246,hid,542,negative (3),-tha•,j,
ma-542-1-1,ma,Mandan,mand1446,mhq,542,negative (3),-xi- ~ -rįx-,c,
pda-542-1-1,pda,Proto-Dakota,,,542,negative (3),*-nį,,
pwc-542-1-1,pwc,Proto-Hoocąk-Chiwere,,,542,negative (3),*-nį,,
pbo-542-1-1,pbo,Proto-Biloxi-Ofo,,,542,negative (3),*ni,,
la-542-1-1,la,Lakota,lako1247,lkt,542,negative (3),-ni,c,
la-542-1-2,la,Lakota,lako1247,lkt,542,negative (3),-šni,c,
da-542-1-1,da,Dakota,dako1258,dak,542,negative (3),tákuni,r[455b],
da-542-2-1,da,Dakota,dako1258,dak,542,negative (3),-śni,r[447a],
ch-542-1-1,ch,Chiwere,iowa1245,iow,542,negative (3),[†-nį škúñį],rr,
wi-542-1-1,wi,Hoocąk,hoch1243,win,542,negative (3),-nį,rr,
bi-542-1-1,bi,Biloxi,bilo1248,bll,542,negative (3),ni,einaudi[86],
of-542-1-1,of,Ofo,ofoo1242,ofo,542,negative (3),ni,ds[326b],
tu-542-1-1,tu,Tutelo,tute1247,tta,542,negative (3),ki-ą-na ~ -ni,oliverio,
