ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
pmv-407-1-1,pmv,Proto-Mississipi-Valley,,,407,run (1),*rą́kE,,
pda-407-1-1,pda,Proto-Dakota,,,407,run (1),*i-yą́kA,,
pwc-407-1-1,pwc,Proto-Hoocąk-Chiwere,,,407,run (1),*ną́•ke,,
pdh-407-1-1,pdh,Proto-Dhegiha,,,407,run (1),*ną́ke,,
la-407-1-1,la,Lakota,lako1247,lkt,407,run (1),į́yąkA,c,
da-407-1-1,da,Dakota,dako1258,dak,407,run (1),į́yąka,r[201b],
sv-407-1-1,sv,Sioux Valley,,,407,run (1),iyą́ka,pas,
ch-407-1-1,ch,Chiwere,iowa1245,iow,407,run (1),ną́ŋe,rr,
wi-407-1-1,wi,Hoocąk,hoch1243,win,407,run (1),nąąk,km[2178],
wi-407-1-2,wi,Hoocąk,hoch1243,win,407,run (1),nąąk,,
op-407-1-1,op,Omaha-Ponca,omah1247,oma,407,run (1),ną́ge,rr,
ks-407-1-1,ks,Kanza/Kaw,kans1243,ksk,407,run (1),ną́ge,rr,
os-407-1-1,os,Osage,osag1243,osa,407,run (1),nóⁿge,lf[114a],
qu-407-1-1,qu,Quapaw,quap1242,qua,407,run (1),ną́ke,jod,
