ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-1051-1-1,psi,Proto-Siouan,,sio,1051,"break brittle things > smash, crush",*-xúxE,,
pmv-1051-1-1,pmv,Proto-Mississipi-Valley,,,1051,"break brittle things > smash, crush",*-xú•ɣE,,
hi-1051-1-1,hi,Hidatsa,hida1246,hid,1051,"break brittle things > smash, crush","-xuxxE, nax-",j,
hi-1051-1-2,hi,Hidatsa,hida1246,hid,1051,"break brittle things > smash, crush","-xuxxE, naka-",j,
hi-1051-1-3,hi,Hidatsa,hida1246,hid,1051,"break brittle things > smash, crush","-xuxxE, ara-",j,
hi-1051-1-4,hi,Hidatsa,hida1246,hid,1051,"break brittle things > smash, crush","-xuxxE, ará-",j,
hi-1051-1-5,hi,Hidatsa,hida1246,hid,1051,"break brittle things > smash, crush","-xuxxE, ná-",j,
hi-1051-1-6,hi,Hidatsa,hida1246,hid,1051,"break brittle things > smash, crush","-xuxxE, nú-",j,
hi-1051-1-7,hi,Hidatsa,hida1246,hid,1051,"break brittle things > smash, crush","-xuxxE, pá-",j,
pda-1051-1-1,pda,Proto-Dakota,,,1051,"break brittle things > smash, crush",*xúɣA,,
pdh-1051-1-1,pdh,Proto-Dhegiha,,,1051,"break brittle things > smash, crush",*-xǘ•ɣe,,
la-1051-1-1,la,Lakota,lako1247,lkt,1051,"break brittle things > smash, crush",xuɣáhą,b[196a],
la-1051-1-2,la,Lakota,lako1247,lkt,1051,"break brittle things > smash, crush",xuɣáhA,ej,
la-1051-1-3,la,Lakota,lako1247,lkt,1051,"break brittle things > smash, crush","-xúɣA, na-",ej,
la-1051-1-4,la,Lakota,lako1247,lkt,1051,"break brittle things > smash, crush","-xúɣa, pa-",b[426b],
la-1051-1-5,la,Lakota,lako1247,lkt,1051,"break brittle things > smash, crush","-xuɣa, waká-",b[525a],
la-1051-1-6,la,Lakota,lako1247,lkt,1051,"break brittle things > smash, crush","-xúxuɣa, ka-",b[276a],
la-1051-1-7,la,Lakota,lako1247,lkt,1051,"break brittle things > smash, crush","-xuɣa, wayá-",b[563a],
la-1051-1-8,la,Lakota,lako1247,lkt,1051,"break brittle things > smash, crush","-xúɣa, yu-",b[639a],
la-1051-1-9,la,Lakota,lako1247,lkt,1051,"break brittle things > smash, crush",xúɣe,ej,
da-1051-1-1,da,Dakota,dako1258,dak,1051,"break brittle things > smash, crush",ḣúġa,r[167b],
wi-1051-1-1,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush","xúx, gi-",km[433],
wi-1051-1-2,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush",gixux,km[2273];lk[18.15],
wi-1051-1-3,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush","xúx, nąą-",km[2584],
wi-1051-1-4,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush",nąąxux,km[2770];lk[20.16],
wi-1051-1-5,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush","xúx, ra-",km[3536];lk[19.4],
wi-1051-1-6,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush",raxux,km[104],
wi-1051-1-7,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush","xúx, ru-",,
wi-1051-1-8,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush",ruxux,,
wi-1051-1-9,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush","xúx, wa-",,
wi-1051-1-10,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush",waxux,,
wi-1051-1-11,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush","xux, boo- booxúxux",,
wi-1051-1-12,wi,Hoocąk,hoch1243,win,1051,"break brittle things > smash, crush",booxux booxuxux,,
ks-1051-1-1,ks,Kanza/Kaw,kans1243,ksk,1051,"break brittle things > smash, crush",daxü•ɣe,rr,
ks-1051-1-2,ks,Kanza/Kaw,kans1243,ksk,1051,"break brittle things > smash, crush",gaxü•´ɣe,rr,
ks-1051-1-3,ks,Kanza/Kaw,kans1243,ksk,1051,"break brittle things > smash, crush",yaxü•´ɣe,rr,
os-1051-1-1,os,Osage,osag1243,osa,1051,"break brittle things > smash, crush",xüɣe,,
qu-1051-1-1,qu,Quapaw,quap1242,qua,1051,"break brittle things > smash, crush",dixíxe,rr,
qu-1051-2-1,qu,Quapaw,quap1242,qua,1051,"break brittle things > smash, crush",[†kaxíxe],jod,
