ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psc-211-1-1,psc,Proto-Siouan-Catawba,,,211,steal (1),*-rų,,
psi-211-1-1,psi,Proto-Siouan,,sio,211,steal (1),*wa-_rų́•,,
pch-211-1-1,pch,Proto-Crow-Hidatsa,,,211,steal (1),*aša•ri,,
pma-211-1-1,pma,Pre-Mandan,,,211,steal (1),*rų•-,,
pmv-211-1-1,pmv,Proto-Mississipi-Valley,,,211,steal (1),*mą•-_nų,,
ca-211-1-1,ca,Catawba,cata1286,chc,211,steal (1),"hiinų́-, inų́-",sp,
cr-211-1-1,cr,Crow,crow1244,cro,211,steal (1),ataalí,gg[13],
hi-211-1-1,hi,Hidatsa,hida1246,hid,211,steal (1),aša•ri,j,
ma-211-1-1,ma,Mandan,mand1446,mhq,211,steal (1),wąrų́•,c,
ma-211-1-2,ma,Mandan,mand1446,mhq,211,steal (1),rų́•re,c,
pda-211-1-1,pda,Proto-Dakota,,,211,steal (1),*ma-_nų́,,
pwc-211-1-1,pwc,Proto-Hoocąk-Chiwere,,,211,steal (1),*mą́•nų,,
pdh-211-1-1,pdh,Proto-Dhegiha,,,211,steal (1),*mǫ(r)ǫ < *mǫ-ʔǫ (?),,
la-211-1-1,la,Lakota,lako1247,lkt,211,steal (1),"manų́, mawánų",c,
sv-211-1-1,sv,Sioux Valley,,,211,steal (1),ma-nų,pas,
ch-211-1-1,ch,Chiwere,iowa1245,iow,211,steal (1),(wa)mųnų,marsh,
wi-211-1-1,wi,Hoocąk,hoch1243,win,211,steal (1),mąąnų́,km[2001],
wi-211-1-2,wi,Hoocąk,hoch1243,win,211,steal (1),mąąnų,,
op-211-1-1,op,Omaha-Ponca,omah1247,oma,211,steal (1),wamoⁿthoⁿ,sw[164],
ks-211-1-1,ks,Kanza/Kaw,kans1243,ksk,211,steal (1),wamǫ́yǫ,rr,
ks-211-1-2,ks,Kanza/Kaw,kans1243,ksk,211,steal (1),gímǫyǫ,rr,
os-211-1-1,os,Osage,osag1243,osa,211,steal (1),moⁿthóⁿ,lf[102b],
qu-211-1-1,qu,Quapaw,quap1242,qua,211,steal (1),"mądá, mǫdá",jod,
tu-211-1-1,tu,Tutelo,tute1247,tta,211,steal (1),"manoñ, manōma H; manóma, manóⁿ, manúⁿ",jod,
