ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-440-1-1,psi,Proto-Siouan,,sio,440,"red (1b), red hawthorn",*šE,,
pch-440-1-1,pch,Proto-Crow-Hidatsa,,,440,"red (1b), red hawthorn",*hišE,,
pma-440-1-1,pma,Pre-Mandan,,,440,"red (1b), red hawthorn",*se,,
pmv-440-1-1,pmv,Proto-Mississipi-Valley,,,440,"red (1b), red hawthorn",*še,,
cr-440-1-1,cr,Crow,crow1244,cro,440,"red (1b), red hawthorn",híšši,dec[85];gg[48],
hi-440-1-1,hi,Hidatsa,hida1246,hid,440,"red (1b), red hawthorn",hišÉ,j,
ma-440-1-1,ma,Mandan,mand1446,mhq,440,"red (1b), red hawthorn",séʔ,c,
ma-440-1-2,ma,Mandan,mand1446,mhq,440,"red (1b), red hawthorn",ráseʔš,c,
pda-440-1-1,pda,Proto-Dakota,,,440,"red (1b), red hawthorn",*šá,,
pwc-440-1-1,pwc,Proto-Hoocąk-Chiwere,,,440,"red (1b), red hawthorn",*šé•,,
pdh-440-1-1,pdh,Proto-Dhegiha,,,440,"red (1b), red hawthorn",*še,,
la-440-1-1,la,Lakota,lako1247,lkt,440,"red (1b), red hawthorn",šá,c,
la-440-1-2,la,Lakota,lako1247,lkt,440,"red (1b), red hawthorn","šá, pa-",b[434],
la-440-1-3,la,Lakota,lako1247,lkt,440,"red (1b), red hawthorn","šá, yu-",b[651],
da-440-1-1,da,Dakota,dako1258,dak,440,"red (1b), red hawthorn",śá,r[440a],
sv-440-1-1,sv,Sioux Valley,,,440,"red (1b), red hawthorn",šá,pas,
ch-440-1-1,ch,Chiwere,iowa1245,iow,440,"red (1b), red hawthorn","se, še",rr,
wi-440-1-1,wi,Hoocąk,hoch1243,win,440,"red (1b), red hawthorn",kšee,km[1900],
wi-440-1-2,wi,Hoocąk,hoch1243,win,440,"red (1b), red hawthorn",kšee,,
op-440-1-1,op,Omaha-Ponca,omah1247,oma,440,"red (1b), red hawthorn",še,gilmore,
ks-440-1-1,ks,Kanza/Kaw,kans1243,ksk,440,"red (1b), red hawthorn",še,rr,
os-440-1-1,os,Osage,osag1243,osa,440,"red (1b), red hawthorn",she,lf[131a],
