ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-623-1-1,psi,Proto-Siouan,,sio,623,"lightning, sheet (?)",*ąpV,,
pmv-623-1-1,pmv,Proto-Mississipi-Valley,,,623,"lightning, sheet (?)",*ą́pV,,
pdh-623-1-1,pdh,Proto-Dhegiha,,,623,"lightning, sheet (?)",*rü-ą́pa,,
wi-623-1-1,wi,Hoocąk,hoch1243,win,623,"lightning, sheet (?)",ǰaaǰą́p,km[1675],
wi-623-1-2,wi,Hoocąk,hoch1243,win,623,"lightning, sheet (?)",jaająp,km[1694],
wi-623-1-3,wi,Hoocąk,hoch1243,win,623,"lightning, sheet (?)",hooǰą́p,km[3342],
wi-623-1-4,wi,Hoocąk,hoch1243,win,623,"lightning, sheet (?)",hoojąp,,
wi-623-1-5,wi,Hoocąk,hoch1243,win,623,"lightning, sheet (?)",waką́jóoǰą́p,,
wi-623-1-6,wi,Hoocąk,hoch1243,win,623,"lightning, sheet (?)",wakąjoojąp (= wakąja hoojąp),,
op-623-1-1,op,Omaha-Ponca,omah1247,oma,623,"lightning, sheet (?)",thióⁿba,sw[113],
ks-623-1-1,ks,Kanza/Kaw,kans1243,ksk,623,"lightning, sheet (?)",yüǫ́ba,rr,
os-623-1-1,os,Osage,osag1243,osa,623,"lightning, sheet (?)",thihóⁿba,lf[147a],
qu-623-1-1,qu,Quapaw,quap1242,qua,623,"lightning, sheet (?)",dią́ba,jod,
of-623-1-1,of,Ofo,ofoo1242,ofo,623,"lightning, sheet (?)",ạmptíyaho,ds[321a],
of-623-2-1,of,Ofo,ofoo1242,ofo,623,"lightning, sheet (?)",ạmtcạ´ki,ds[321],
