ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-103-1-1,psi,Proto-Siouan,,sio,103,turn over (4),*kxų́he,,
pch-103-1-1,pch,Proto-Crow-Hidatsa,,,103,turn over (4),*-xxua < *-xxuhe,,
pma-103-1-1,pma,Pre-Mandan,,,103,turn over (4),*-kxų•h-,,
pmv-103-1-1,pmv,Proto-Mississipi-Valley,,,103,turn over (4),*-kšų́,,
cr-103-1-1,cr,Crow,crow1244,cro,103,turn over (4),iluxxúa,rg;gg[88],
hi-103-1-1,hi,Hidatsa,hida1246,hid,103,turn over (4),xxúa,j,
hi-103-1-2,hi,Hidatsa,hida1246,hid,103,turn over (4),xúa,j,
hi-103-1-3,hi,Hidatsa,hida1246,hid,103,turn over (4),"xxúa, na-",j,
hi-103-1-4,hi,Hidatsa,hida1246,hid,103,turn over (4),"xxua, ara-",j,
hi-103-1-5,hi,Hidatsa,hida1246,hid,103,turn over (4),"xxua, ná-",j,
hi-103-1-6,hi,Hidatsa,hida1246,hid,103,turn over (4),"xxua, nú-",j,
hi-103-1-7,hi,Hidatsa,hida1246,hid,103,turn over (4),"xxua, pá-",,
ma-103-1-1,ma,Mandan,mand1446,mhq,103,turn over (4),irų́kxų•hoʔš,c,
ma-103-1-2,ma,Mandan,mand1446,mhq,103,turn over (4),kxų́hoʔš,h[126],
ma-103-1-3,ma,Mandan,mand1446,mhq,103,turn over (4),"-kxų́hoʔš, ka-",h[127],
ma-103-1-4,ma,Mandan,mand1446,mhq,103,turn over (4),"-kxų́hoʔš, ra-",h[127],
pdh-103-1-1,pdh,Proto-Dhegiha,,,103,turn over (4),*-šǫ́,,
wi-103-1-1,wi,Hoocąk,hoch1243,win,103,turn over (4),"kšų́, nąą-",km[2196];lk[18.8],
wi-103-1-2,wi,Hoocąk,hoch1243,win,103,turn over (4),nąąkšų,km[3372],
wi-103-1-3,wi,Hoocąk,hoch1243,win,103,turn over (4),"kšų́, wa-",km[3373],
wi-103-1-4,wi,Hoocąk,hoch1243,win,103,turn over (4),wakšų,,
wi-103-1-5,wi,Hoocąk,hoch1243,win,103,turn over (4),"kšų́, wa-",,
wi-103-1-6,wi,Hoocąk,hoch1243,win,103,turn over (4),wakšų,,
ks-103-1-1,ks,Kanza/Kaw,kans1243,ksk,103,turn over (4),bašǫ́,rr,
qu-103-1-1,qu,Quapaw,quap1242,qua,103,turn over (4),dišǫ́,rr,
