ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-1102-1-1,psi,Proto-Siouan,,sio,1102,"bend > limp, be lame",*škó•,,
pch-1102-1-1,pch,Proto-Crow-Hidatsa,,,1102,"bend > limp, be lame",*-škó•,,
cr-1102-1-1,cr,Crow,crow1244,cro,1102,"bend > limp, be lame",alačkú,gg[7];rg,
hi-1102-1-1,hi,Hidatsa,hida1246,hid,1102,"bend > limp, be lame",aškó•,j,
bi-1102-1-1,bi,Biloxi,bilo1248,bll,1102,"bend > limp, be lame","tckokí, tckukí",ds[265b],
