ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psc-922-1-1,psc,Proto-Siouan-Catawba,,,922,"deer, ruminant",*wité (?),,
psi-922-1-1,psi,Proto-Siouan,,sio,922,"deer, ruminant",*wi-htá•,,
pmv-922-1-1,pmv,Proto-Mississipi-Valley,,,922,"deer, ruminant",*htá,,
pse-922-1-1,pse,Proto-Southeastern,,,922,"deer, ruminant",*withá•,,
ca-922-1-1,ca,Catawba,cata1286,chc,922,"deer, ruminant",widəbóye,sp,
ca-922-1-2,ca,Catawba,cata1286,chc,922,"deer, ruminant",wide•,fs,
pda-922-1-1,pda,Proto-Dakota,,,922,"deer, ruminant",*thá,,
pwc-922-1-1,pwc,Proto-Hoocąk-Chiwere,,,922,"deer, ruminant",*thá•,,
pdh-922-1-1,pdh,Proto-Dhegiha,,,922,"deer, ruminant",*htá,rr,
pbo-922-1-1,pbo,Proto-Biloxi-Ofo,,,922,"deer, ruminant",*itha•,,
la-922-1-1,la,Lakota,lako1247,lkt,922,"deer, ruminant","thá, tháxča",c,
da-922-1-1,da,Dakota,dako1258,dak,922,"deer, ruminant",táḣiŋca,wm[46a],
st-922-1-1,st,Stoney,ston1242,sto,922,"deer, ruminant",thá,pas,
ch-922-1-1,ch,Chiwere,iowa1245,iow,922,"deer, ruminant",thá•,jdh,
wi-922-1-1,wi,Hoocąk,hoch1243,win,922,"deer, ruminant",čáa,km[112],
wi-922-1-2,wi,Hoocąk,hoch1243,win,922,"deer, ruminant",caa,,
op-922-1-1,op,Omaha-Ponca,omah1247,oma,922,"deer, ruminant",ttá,c,
op-922-1-2,op,Omaha-Ponca,omah1247,oma,922,"deer, ruminant",ttáxti,rr,
ks-922-1-1,ks,Kanza/Kaw,kans1243,ksk,922,"deer, ruminant",ttá,rr,
os-922-1-1,os,Osage,osag1243,osa,922,"deer, ruminant",htá,rr,
os-922-2-1,os,Osage,osag1243,osa,922,"deer, ruminant",ṭáxtsi,lf[139b],
qu-922-1-1,qu,Quapaw,quap1242,qua,922,"deer, ruminant",ttá,rr,
bi-922-1-1,bi,Biloxi,bilo1248,bll,922,"deer, ruminant",eta•ʔ,haas;swadesh,
bi-922-1-2,bi,Biloxi,bilo1248,bll,922,"deer, ruminant","itá, íta",ds[268a],
of-922-1-1,of,Ofo,ofoo1242,ofo,922,"deer, ruminant","ītxā´, ítxa",ds[320b];ssf,
tu-922-1-1,tu,Tutelo,tute1247,tta,922,"deer, ruminant",witāi,h,
tu-922-1-2,tu,Tutelo,tute1247,tta,922,"deer, ruminant",wiṭáa,hw,
tu-922-1-3,tu,Tutelo,tute1247,tta,922,"deer, ruminant","witái, witaⁿ´ĕ",jod,
