ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psc-802-1-1,psc,Proto-Siouan-Catawba,,,802,fox,*tVx-,,
psi-802-1-1,psi,Proto-Siouan,,sio,802,fox,*ahtóx-ka,,
pca-802-1-1,pca,Proto-Catawba,,,802,fox,*tą•se ~ *tą•xe,,
pch-802-1-1,pch,Proto-Crow-Hidatsa,,,802,fox,*í•xohka,,
pmv-802-1-1,pmv,Proto-Mississipi-Valley,,,802,fox,*htóhka (?),,
pse-802-1-1,pse,Proto-Southeastern,,,802,fox,*athóxka,,
ca-802-1-1,ca,Catawba,cata1286,chc,802,fox,tą•se,ks,
wo-802-1-1,wo,Woccon,wocc1242,xwc,802,fox,Tauh-he,lawson,
cr-802-1-1,cr,Crow,crow1244,cro,802,fox,íaxuhka,rg;gg[71];dec[3],
hi-802-1-1,hi,Hidatsa,hida1246,hid,802,fox,í•xohka,j,
pda-802-1-1,pda,Proto-Dakota,,,802,fox,*thokhá-,,
pdh-802-1-1,pdh,Proto-Dhegiha,,,802,fox,*htókha (?),,
pbo-802-1-1,pbo,Proto-Biloxi-Ofo,,,802,fox,*athóxka,,
la-802-1-1,la,Lakota,lako1247,lkt,802,fox,thokhála,c,
da-802-1-1,da,Dakota,dako1258,dak,802,fox,tokádaŋ,r[473b],
ch-802-1-1,ch,Chiwere,iowa1245,iow,802,fox,túka xóje,jgt,
ch-802-1-2,ch,Chiwere,iowa1245,iow,802,fox,thų́kha xóda,jdh,
op-802-1-1,op,Omaha-Ponca,omah1247,oma,802,fox,ṭikaqude,jod,
qu-802-1-1,qu,Quapaw,quap1242,qua,802,fox,ttóKa xótte,jod,
bi-802-1-1,bi,Biloxi,bilo1248,bll,802,fox,"toxká, tóxka, ṭox",ds[277b],
of-802-1-1,of,Ofo,ofoo1242,ofo,802,fox,atxóska,ds[322a],
tu-802-1-1,tu,Tutelo,tute1247,tta,802,fox,tohkai,h,
tu-802-1-2,tu,Tutelo,tute1247,tta,802,fox,"mùñktagín; mùnktōkāi, maktukai",n;h,
