ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-1130-1-1,psi,Proto-Siouan,,sio,1130,bathe,*hi•-rá,,
pmv-1130-1-1,pmv,Proto-Mississipi-Valley,,,1130,bathe,*hi•_rá,,
cr-1130-1-1,cr,Crow,crow1244,cro,1130,bathe,híilappee,rg;gg[48],
pwc-1130-1-1,pwc,Proto-Hoocąk-Chiwere,,,1130,bathe,*hí•-ra,,
pdh-1130-1-1,pdh,Proto-Dhegiha,,,1130,bathe,*hi_rá,,
ch-1130-1-1,ch,Chiwere,iowa1245,iow,1130,bathe,hí•ra,jdh,
wi-1130-1-1,wi,Hoocąk,hoch1243,win,1130,bathe,hiira,km[876],
wi-1130-1-2,wi,Hoocąk,hoch1243,win,1130,bathe,hiira,,
op-1130-1-1,op,Omaha-Ponca,omah1247,oma,1130,bathe,hi_ðá,jod,
ks-1130-1-1,ks,Kanza/Kaw,kans1243,ksk,1130,bathe,hiyá,rr,
os-1130-1-1,os,Osage,osag1243,osa,1130,bathe,hithá,lf[61b],
qu-1130-1-1,qu,Quapaw,quap1242,qua,1130,bathe,hidá,om,
tu-1130-1-1,tu,Tutelo,tute1247,tta,1130,bathe,míni ínase,hw,
