ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-1078-1-1,psi,Proto-Siouan,,sio,1078,"blade, edged tool",*wą́•hį,,
pmv-1078-1-1,pmv,Proto-Mississipi-Valley,,,1078,"blade, edged tool",*wą́•hį,,
hi-1078-1-1,hi,Hidatsa,hida1246,hid,1078,"blade, edged tool",wa•ʔí•,j,
hi-1078-1-2,hi,Hidatsa,hida1246,hid,1078,"blade, edged tool",ma•ʔí•,,
ma-1078-1-1,ma,Mandan,mand1446,mhq,1078,"blade, edged tool",wą́•hį,c,
pda-1078-1-1,pda,Proto-Dakota,,,1078,"blade, edged tool",*wąhį́,,
pwc-1078-1-1,pwc,Proto-Hoocąk-Chiwere,,,1078,"blade, edged tool",*mą́•hį,,
pdh-1078-1-1,pdh,Proto-Dhegiha,,,1078,"blade, edged tool",*mą́hį,,
la-1078-1-1,la,Lakota,lako1247,lkt,1078,"blade, edged tool",wahíŋ,b[517b],
la-1078-1-2,la,Lakota,lako1247,lkt,1078,"blade, edged tool",wąhį́kpe,c,
da-1078-1-1,da,Dakota,dako1258,dak,1078,"blade, edged tool",waŋhiŋkpe,wm[9b],
ch-1078-1-1,ch,Chiwere,iowa1245,iow,1078,"blade, edged tool",má•hį ~ mą́hį,rr,
wi-1078-1-1,wi,Hoocąk,hoch1243,win,1078,"blade, edged tool",mąąhį́,km[1960],
wi-1078-1-2,wi,Hoocąk,hoch1243,win,1078,"blade, edged tool",mąąhį,km[2075],
wi-1078-1-3,wi,Hoocąk,hoch1243,win,1078,"blade, edged tool",mą́įsu,,
wi-1078-1-4,wi,Hoocąk,hoch1243,win,1078,"blade, edged tool",mąįsu,,
op-1078-1-1,op,Omaha-Ponca,omah1247,oma,1078,"blade, edged tool",mą́hį,rr,
ks-1078-1-1,ks,Kanza/Kaw,kans1243,ksk,1078,"blade, edged tool",mą́hį,rr,
os-1078-1-1,os,Osage,osag1243,osa,1078,"blade, edged tool",móⁿhiⁿ,lf[98b],
os-1078-1-2,os,Osage,osag1243,osa,1078,"blade, edged tool",moⁿhiⁿsi,lf[98b],
qu-1078-1-1,qu,Quapaw,quap1242,qua,1078,"blade, edged tool",mą́hį,rr,
qu-1078-1-2,qu,Quapaw,quap1242,qua,1078,"blade, edged tool",mą́hįsí,jod,
