ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-100-1-1,psi,Proto-Siouan,,sio,100,turtle (1),"*wa-hké, *wi-hké",,
pmv-100-1-1,pmv,Proto-Mississipi-Valley,,,100,turtle (1),*hke,,
ca-100-1-1,ca,Catawba,cata1286,chc,100,turtle (1),kayáʔ,,
cr-100-1-1,cr,Crow,crow1244,cro,100,turtle (1),dáakko,gg[40];dec[2],
hi-100-1-1,hi,Hidatsa,hida1246,hid,100,turtle (1),ra•káka•,j,
ma-100-1-1,ma,Mandan,mand1446,mhq,100,turtle (1),pkéʔ,c,
pda-100-1-1,pda,Proto-Dakota,,,100,turtle (1),*khe(-ya),,
pwc-100-1-1,pwc,Proto-Hoocąk-Chiwere,,,100,turtle (1),*khé•,,
pdh-100-1-1,pdh,Proto-Dhegiha,,,100,turtle (1),*hké,,
la-100-1-1,la,Lakota,lako1247,lkt,100,turtle (1),khé,c,
la-100-1-2,la,Lakota,lako1247,lkt,100,turtle (1),kheyá,c,
da-100-1-1,da,Dakota,dako1258,dak,100,turtle (1),kéya,,
ch-100-1-1,ch,Chiwere,iowa1245,iow,100,turtle (1),khe,marsh,
wi-100-1-1,wi,Hoocąk,hoch1243,win,100,turtle (1),kée,km[1778],
wi-100-1-2,wi,Hoocąk,hoch1243,win,100,turtle (1),kee; keecąk,,
op-100-1-1,op,Omaha-Ponca,omah1247,oma,100,turtle (1),kké,c,
ks-100-1-1,ks,Kanza/Kaw,kans1243,ksk,100,turtle (1),kke,rr,
os-100-1-1,os,Osage,osag1243,osa,100,turtle (1),ḳe,lf[84b],
qu-100-1-1,qu,Quapaw,quap1242,qua,100,turtle (1),kke,rr,
