ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
pmv-617-1-1,pmv,Proto-Mississipi-Valley,,,617,locative (2),*-ra,,
la-617-1-1,la,Lakota,lako1247,lkt,617,locative (2),-ya {in} héciya,b[170],
la-617-1-2,la,Lakota,lako1247,lkt,617,locative (2),-yą {in} téhąyą,b[486],
la-617-1-3,la,Lakota,lako1247,lkt,617,locative (2),-yą {in} tohą́yą,b[493],
la-617-1-4,la,Lakota,lako1247,lkt,617,locative (2),-yą {in} toką́yą,b[495b],
ch-617-1-1,ch,Chiwere,iowa1245,iow,617,locative (2),-rá,jgt92[2009],
ch-617-1-2,ch,Chiwere,iowa1245,iow,617,locative (2),-rá {in} jará,,
ks-617-1-1,ks,Kanza/Kaw,kans1243,ksk,617,locative (2),-ya {in} yégaya,rr,
