ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-679-1-1,psi,Proto-Siouan,,sio,679,"hot, warm",*ahká•tE ~ *aRá•-hkatE,,
pmv-679-1-1,pmv,Proto-Mississipi-Valley,,,679,"hot, warm",*(Rá•)-hkatE,,
pda-679-1-1,pda,Proto-Dakota,,,679,"hot, warm",*khátA,,
pdh-679-1-1,pdh,Proto-Dhegiha,,,679,"hot, warm",*Ráhkate,,
la-679-1-1,la,Lakota,lako1247,lkt,679,"hot, warm",khátA,c,
da-679-1-1,da,Dakota,dako1258,dak,679,"hot, warm",káta,r[269b],
st-679-1-1,st,Stoney,ston1242,sto,679,"hot, warm",kháda,pas,
sv-679-1-1,sv,Sioux Valley,,,679,"hot, warm",kháta,pas,
wi-679-1-1,wi,Hoocąk,hoch1243,win,679,"hot, warm",taakác,km[3053],
wi-679-1-2,wi,Hoocąk,hoch1243,win,679,"hot, warm",taakac,,
op-679-1-1,op,Omaha-Ponca,omah1247,oma,679,"hot, warm",nákkade,c;rr,
ks-679-1-1,ks,Kanza/Kaw,kans1243,ksk,679,"hot, warm",dákkaǰe,rr,
ks-679-1-2,ks,Kanza/Kaw,kans1243,ksk,679,"hot, warm",badákkaǰe,rr,
ks-679-1-3,ks,Kanza/Kaw,kans1243,ksk,679,"hot, warm",bódakkaǰe,rr,
ks-679-1-4,ks,Kanza/Kaw,kans1243,ksk,679,"hot, warm",büdákkaǰe,rr,
ks-679-1-5,ks,Kanza/Kaw,kans1243,ksk,679,"hot, warm",gadákkaǰe,rr,
ks-679-1-6,ks,Kanza/Kaw,kans1243,ksk,679,"hot, warm",nądákkaǰe,rr,
ks-679-1-7,ks,Kanza/Kaw,kans1243,ksk,679,"hot, warm",yüdákkaǰe,rr,
os-679-1-1,os,Osage,osag1243,osa,679,"hot, warm",dáḳadse,lf[36a],
qu-679-1-1,qu,Quapaw,quap1242,qua,679,"hot, warm",tákkatte,rr,
tu-679-1-1,tu,Tutelo,tute1247,tta,679,"hot, warm","akáteka, akātia",h,
tu-679-1-2,tu,Tutelo,tute1247,tta,679,"hot, warm",akáta,jod,
tu-679-1-3,tu,Tutelo,tute1247,tta,679,"hot, warm",meniʔiigaat’eeʔąʔa,sapir,
tu-679-1-4,tu,Tutelo,tute1247,tta,679,"hot, warm",menii´kate´oⁿ,frachtenberg,
