ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-247-1-1,psi,Proto-Siouan,,sio,247,spouse,*i-rarą {or} *i-rarį,,
pmv-247-1-1,pmv,Proto-Mississipi-Valley,,,247,spouse,*ną́ (?),,
ch-247-1-1,ch,Chiwere,iowa1245,iow,247,spouse,hinnage,jgt92[281],
op-247-1-1,op,Omaha-Ponca,omah1247,oma,247,spouse,ðaną́hau,jek,
op-247-1-2,op,Omaha-Ponca,omah1247,oma,247,spouse,ðaną,,
of-247-1-1,of,Ofo,ofoo1242,ofo,247,spouse,"ĭthä´nạni, tä´nạni",ds[324b],
